keys,en,pt,zh
NEW_GAME,New game,Novo jogo,新游戏
CONTINUE,Continue,Continuar,继续
SETTINGS,Settings,Definições,设置
RESUME,Resume,Resumir,回到游戏
SAVE_AND_QUIT,Save and quit,Salvar e sair,保存並退出
MENU,Menu,Menu,菜单
QUIT,Quit,Sair,退出
MUSIC_VOLUME,Music volume,Volume da música,音乐
SOUND_VOLUME,Sound volume,Volume do som,音效
PARTICLE_EFFECT,Particle effect,Efeito de partículas,粒子效果
FLOATING_TEXT,Floating texts,Textos flutuantes,浮動文本
FULLSCREEN,Fullscreen,Tela cheia,全屏
LANGUAGE,Language,Linguagem,语言
GENERAL,General,Geral,一般的
EFFECTS,Efects,Efeitos,效果
AUDIO,Audio,Áudio,聲音的
CONTROLLER,Controller,Controle,控制器
DEVICE,Device,Dispositivo,設備
EMPTY_DEVICE,No device connected,Nenhum dispositivo conectado,没有连接任何设备
BACK,Back,Voltar,返回
DONE,Done,Feito,完成
SIZE,Size,Tamanho,尺寸
COLOR,Color,Cor,顏色
OUTLINE,Outline,Contorno,大綱
OUTLINE_ADD_BORDER,Add border,Adicionar borda,添加邊框
OUTLINE_BORDER_INSIDE,Border inside,Borda interna,內邊框
OUTLINE_BORDER_WIDTH,Border width,Largura da borda,邊框寬度
IMAGE,Image,Imagem,圖片
PREVIEW,Preview,Pré-visualização,預習
EASY,Easy,Fácil,簡單的
NORMAL,Normal,Normal,普通的
HARD,Hard,Difícil,難的
ENGLISH,English,Inglês,英语
PORTUGUESE,Portuguese,Português,葡萄牙语
CHINESE,Chinese,Chinês,简体中文
GAME_PAUSED,Game paused,Jogo pausado,暂停
STATS,Stats,Stats,统计
CARDS,Cards,Cartas,牌
SPELLS,Spells,Feitiços,法术
ITEMS,Items,Itens,道具
ITEMS_PLURAL,Item(s),Item(ns),件商品
BACKPACK,Backpack,Mochila,背包
SHOP,Shop,Loja,店鋪
CONSUMABLE,Consumable,Consumível,消耗品
UPGRADE_POINTS,Upgrade points,Pontos de melhoria,升级点
COINS,Coins,Moedas,金币
UPGRADE,Upgrade,Melhorar,提升
BUY,Buy,Comprar,购买
SELL,Sell,Vender,賣
BUY_OR_SELL,Buy / Sell,Vender / Comprar,買/賣
LEARN,Learn,Aprender,學會
USE,Use,Usar,使用
COST,Cost,Custo,花费
UPGRADED,Upgraded,Melhorado,升级
ADDED,Added,Adicionado,新增
COOLDOWN,Cooldown,Cooldown,冷却
DURATION,Duration,Duração,期间
CAST_TIME,Cast time,Tempo de lançamento,施法时间
MAX_PROJECTILES,Max projectiles,Projéteis máximos,最大射弹
SPREAD,Spread,Espalhar,傳播
PASS_THROUGH,Pass through,Atravessar,通過
SPEED,Speed,Velocidade,速度
AREA,Area,Área,区域
EXPLOSION_AREA,Explosion area,Área da explosão,爆炸區域
HEALTH,Health,Vida,HP
DAMAGE,Damage,Dano,伤害
DAMAGE_TYPE,Damage type,Tipo de dano,傷害類型
DAMAGE_TYPE_MAGIC,Magical,Mágico,神奇的
DAMAGE_TYPE_PHYSICAL,Physical,Físico,身體的
TARGET_UNIT,Target unit,Unidade-alvo,目標單位
BASE_DAMAGE,Base damage,Dano base,基礎傷害
MAGIC_DAMAGE,Magic damage,Dano mágico,魔法傷害
RANGE_DAMAGE,Range damage,Dano de alcance,距离伤害
PHYSICAL_DAMAGE,Physical damage,Dano físico,物理傷害
CRITICAL_DAMAGE,Critical damage,Dano crítico,暴击伤害
DAMAGE_KNOCKBACK,Knockback,Knockback,擊退
DAMAGE_BLOCK,Damage block,Bloqueio de dano,傷害方塊
PICK_AREA,Pick area,Área de coleta,选择区域
HEALTH_REGEN,Health regen,Recuperação de vida,健康再生
LEVEL,Level,Nível,等级
LEVELUP,LEVELUP,+1 NÍVEL,升级
LEVEL_UPGRADE,Level {level} upgrade,Atualização de nível {level},{level}级升级
LEVEL_REACHED,Level reached,Nível atingido,最终等级
GLOW_EFFECT,Glow effect,Efeito de brilho,發光效果
AUTO_LEVELUP_LABEL,Auto level up,Passar de nível automaticamente,自動升級
AUTO_LEVELUP_HINT,Open the upgrade popup when levelup,Abra o pop-up de melhorias ao subir de nível,升級時打開升級彈出窗口
ENEMY_HEALTH_BAR,Displays enemy health bar,Exibe barra de saúde dos inimigos,顯示敵人的健康欄
AUTOCAST_ICONS,Display autocast skill icons,Exibir ícones de habilidades de autocast,顯示自動施法技能圖標
SUMMARY,Summary,Resumo,结果
SURVIVED,Survived,Sobreviveu,幸存下来
COINS_EARNED,Coins earned,Moedas ganhas,获得金币
ENEMIES_DEFEATED,Enemies defeated,Inimigos derrotados,击败敌人
DAMAGE_BLOCKED,Damage blocked,Dano bloqueado,伤害格挡
RESTART,Restart,Reiniciar,重新开始
DAMAGE_TAKEN,Damage taken,Dano recebido,承受伤害
